,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
RABGAP1,-0.0013720152201130986,-0.004679525271058083,-0.008232665248215199,-0.03602324798703194,-0.025406014174222946,0.0232167337089777,0.06874294579029083,-0.014012766070663929,-0.050359468907117844,0.007235350552946329,all
DENND1A,0.015525027178227901,0.012925192713737488,0.02404802478849888,0.020281733945012093,-0.028053218498826027,-0.03267720341682434,-0.03883830085396767,-0.045551348477602005,-0.18331152200698853,-0.22292982041835785,all
HSPA5,0.008543146774172783,-0.005433218088001013,0.03767329454421997,-0.02250954881310463,-0.0057702334597706795,-0.09754230827093124,-0.15103702247142792,0.0037442834582179785,0.14880146086215973,0.4893408715724945,all
MVB12B,0.012520847842097282,0.010448172688484192,0.002549760742112994,0.03192460536956787,-0.007535879034548998,-0.04584081098437309,-0.02921861596405506,0.03990568220615387,0.270103394985199,-0.06841475516557693,all
ZBTB43,0.030853668227791786,-0.044637180864810944,0.05489032343029976,0.020068444311618805,-0.052182771265506744,-0.02627335488796234,-0.05115308612585068,0.005912513937801123,-0.11726247519254684,-0.20738786458969116,all
ZBTB34,0.011243818327784538,0.00933133251965046,0.006510369013994932,-0.00023484087432734668,-0.011315605603158474,-0.018638163805007935,-0.022450044751167297,-0.04212513938546181,-0.027180979028344154,-0.05701585114002228,all
LCN2,-0.030926363542675972,-0.02416449971497059,-0.004168712999671698,-0.042243171483278275,0.9091781973838806,0.029384860768914223,0.043605804443359375,-0.048678889870643616,-0.021428408101201057,0.08305724710226059,all
SWI5,0.025715414434671402,-0.017296042293310165,0.019134975969791412,-0.0013086347607895732,0.09247949719429016,-0.057156458497047424,-0.0577813982963562,0.005766585934907198,-0.03135247156023979,0.14021162688732147,all
SLC27A4,-0.0038087069988250732,0.009175661951303482,0.0005645622732117772,0.008873268030583858,-0.003081107512116432,-0.010712709277868271,-0.004259104840457439,-0.0017446838319301605,-0.04881511628627777,0.02528645470738411,all
RP11-545E17.3,0.008228449150919914,0.002522322814911604,0.010762576945126057,0.019592294469475746,-0.025698965415358543,-0.017131581902503967,-0.043403077870607376,-0.03134883940219879,-0.04989579692482948,-0.004152709152549505,all
ZER1,0.010543392971158028,-0.0058259558863937855,0.004601632710546255,-0.012135022319853306,0.024250777438282967,-0.0029614123050123453,-0.014533725567162037,-0.03987825661897659,-0.08172096312046051,0.024500485509634018,all
IER5L,-0.021407272666692734,0.02364533580839634,0.039845649152994156,0.018937770277261734,-0.029599007219076157,-0.03303853049874306,-0.04248545318841934,-0.020387759432196617,-0.0453464612364769,-0.13655395805835724,all
TOR1B,0.00479682395234704,0.025089966133236885,-0.03199511766433716,0.004650624468922615,0.031790707260370255,0.020360084250569344,0.002927313558757305,-0.04165201261639595,-0.014483232982456684,-0.10727684199810028,all
NTNG2,0.00904178712517023,0.0036503211595118046,-0.006848875433206558,0.00594624737277627,0.002143831690773368,-0.0021805092692375183,0.03215041756629944,-0.01793629489839077,-0.048230357468128204,-0.05029568448662758,all
TSC1,0.006702158134430647,0.0009733606711961329,0.008909614756703377,-0.0012145659420639277,-0.008593154139816761,-0.016968874260783195,-0.014216509647667408,-0.01332663744688034,-0.1025398001074791,0.0023474597837775946,all
GFI1B,-0.024128323420882225,-0.011067395098507404,-0.00951843149960041,-0.03745395317673683,0.1162143349647522,0.08645761013031006,0.04530179128050804,-0.11012551933526993,-0.15793505311012268,0.042965006083250046,all
CACFD1,0.011700092814862728,0.0014885993441566825,-0.0007164803682826459,0.013362905941903591,-0.012785828672349453,-0.01409307960420847,-0.002427287632599473,-0.0073447455652058125,0.03033474087715149,-0.031115468591451645,all
OLFM1,-0.02135886810719967,-0.012161691673099995,0.04368395730853081,0.041710179299116135,-0.025183331221342087,0.002625216031447053,0.029888374730944633,0.00473436526954174,-0.21487444639205933,-0.14641457796096802,all
NACC2,0.030158385634422302,-0.0012024035677313805,0.019963402301073074,0.049613792449235916,-0.0069837551563978195,-0.011118262074887753,-0.03903079777956009,-0.11108935624361038,-0.27026572823524475,-0.23335136473178864,all
QSOX2,0.0030031593050807714,-0.0017693450208753347,0.0031171212904155254,0.025306712836027145,0.03162039816379547,-0.007180916611105204,-0.023681817576289177,-0.03277933597564697,-0.08858811110258102,0.0824703723192215,all
NOTCH1,0.007026963401585817,1.5654026356060058e-05,0.02593603916466236,0.0037580723874270916,-0.005912121385335922,-0.017742717638611794,-0.03006158582866192,-0.06815169751644135,-0.09893809258937836,-0.04929612949490547,all
EGFL7,-0.019004711881279945,-0.004189044237136841,0.00595226651057601,-0.04301958158612251,0.0035266736522316933,0.04620111361145973,0.07705222815275192,-0.0981987863779068,-0.16505925357341766,0.06674475967884064,all
PTGDS,-0.04458185285329819,-0.06254871189594269,-0.054125893861055374,-0.04142249375581741,-0.008656804449856281,-0.0805344358086586,-0.14857392013072968,-0.17661519348621368,-0.2567252218723297,3.5375864505767822,all
CLIC3,-0.06462974101305008,-0.08958107978105545,-0.07664334028959274,-0.06059889867901802,0.017005322501063347,-0.11194935441017151,-0.19938108325004578,-0.1819445639848709,0.026369519531726837,4.771682262420654,all
RP11-229P13.20,-0.00447359262034297,0.0251140333712101,0.004221827257424593,-0.008631356991827488,0.002149547915905714,-0.050818201154470444,-0.037699177861213684,-0.01540615689009428,-0.050375279039144516,0.20912028849124908,all
SAPCD2,0.013374367728829384,-0.0030391267500817776,0.010482270270586014,0.015175594948232174,-0.034826017916202545,-0.008381016552448273,-0.018064752221107483,-0.032516397535800934,-0.12465180456638336,-0.0737719014286995,all
UAP1L1,0.016837485134601593,0.01317352894693613,0.015754884108901024,0.0022366847842931747,-0.011333505623042583,-0.0415315255522728,-0.06490529328584671,-0.024393295869231224,-0.06430059671401978,-0.10159269720315933,all
LRRC26,-0.07047393918037415,-0.09604151546955109,-0.08150624483823776,-0.06391708552837372,0.0006565068615600467,-0.11476452648639679,-0.2173323929309845,-0.21398420631885529,-0.2995763123035431,5.181715488433838,all
NELFB,0.002882627071812749,0.01858571730554104,0.0047082360833883286,-0.028429441154003143,-0.006265650037676096,-0.029292844235897064,-0.005242741201072931,-0.02439703233540058,-0.021028291434049606,0.010293630883097649,all
ZMYND19,-0.007102119270712137,0.005996374879032373,0.010063199326395988,-0.002052338095381856,-0.010968109592795372,-0.017224421724677086,-0.03569348528981209,0.014433651231229305,-0.00787726417183876,0.04824191704392433,all
FAM157B,0.022556137293577194,-1.4558469047187828e-05,-0.0028780698776245117,0.000979514908976853,0.028220433741807938,-0.0052472613751888275,-0.004393280483782291,-0.08302567899227142,-0.04242003709077835,-0.022340916097164154,all
