,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
CLK2,0.005196507554501295,0.016106098890304565,0.005516816396266222,0.0003651899460237473,-0.0019789112266153097,-0.02729721926152706,-0.06024797260761261,-0.012236153706908226,-0.08962725102901459,-0.017501715570688248,all
LMNA,-0.12748174369335175,-0.09402988851070404,0.2408571094274521,-0.056079793721437454,-0.09543635696172714,-0.15852545201778412,-0.17948441207408905,0.7488932609558105,0.8646532297134399,-0.3399029076099396,all
SLC25A44,0.00764464819803834,-0.006448330823332071,0.0038525601848959923,0.02392522804439068,0.019161080941557884,0.0006217756308615208,0.0069962446577847,-0.02744852937757969,-0.011772282421588898,-0.038596056401729584,all
SMG5,0.025611845776438713,0.0033646635711193085,-0.003610046347603202,-0.012477217242121696,-0.024998778477311134,-0.020154964178800583,-0.007680561393499374,-0.03740684688091278,-0.049134884029626846,-0.033578623086214066,all
FCRL1,0.0017749668331816792,0.02608945406973362,0.002842346206307411,0.010788890533149242,0.05510589852929115,-0.027366885915398598,0.03072442300617695,-0.09638846665620804,-0.19709843397140503,0.03123222291469574,all
CD1C,-0.09606441110372543,-0.026516007259488106,-0.027841823175549507,-0.06671220064163208,-0.06360240280628204,-0.27363476157188416,-0.35687798261642456,2.106733560562134,-1.0055742263793945,-0.3452230989933014,all
MNDA,0.37087538838386536,0.14919742941856384,-0.01801081746816635,0.19123661518096924,-0.08741363883018494,-0.545795738697052,-0.5245037078857422,0.0734052062034607,-0.34956473112106323,-1.7631834745407104,all
FCER1A,-0.13147936761379242,-0.09333138167858124,-0.12118657678365707,-0.07871834188699722,-0.1297270804643631,-0.3898169696331024,-0.5978482961654663,3.117196559906006,-1.4654170274734497,1.0209954977035522,all
TAGLN2,-0.1575421541929245,-0.006366145331412554,0.2203522026538849,0.02217083051800728,-0.18140989542007446,-0.2049785703420639,-0.25379011034965515,0.24395786225795746,0.5548635721206665,0.9386506676673889,all
PIGM,-0.001737919868901372,0.02408234030008316,0.007193685043603182,-0.004070189315825701,-0.0019566796254366636,-0.027751782909035683,-0.03676709160208702,-0.019093278795480728,-0.09948405623435974,-0.04643317312002182,all
F11R,0.028979822993278503,-0.00413105171173811,0.009394848719239235,-0.01133551262319088,-0.043653253465890884,-0.05217695236206055,-0.06687957048416138,0.014736664481461048,0.32671594619750977,0.02728346548974514,all
TOMM40L,0.015516783110797405,-0.020154651254415512,0.024466050788760185,-0.02298695780336857,-0.013489131815731525,-0.006777632981538773,-0.031266722828149796,-0.021167106926441193,-0.04901183769106865,-0.06792229413986206,all
